gewicht, product, type
1078, foelie, specerij
141, moernagel, specerij
3301, nootmuskaat, specerij
240307, peper, specerij
5125, peper, specerij
1375, staartpeper, specerij
438, benzoë, specerij
15625, garen, katoen
419750, koffieboon, voedsel
12500, kurkuma, specerij
444, kardemom, onbekend
5229, kamfer, plant
20576, calaturshout, hout
1299, drakenbloed, hout
162, guttegom, kleurstof
2375, indigo, kleurstof
307, parelmoerschelp, schelp
35000, sapanhout, hout
1583, sago, specerij
12500, tin, metaal
200214, poedersuiker, voedsel
